MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Category;AI;VSCode;Microsoft.VisualStudio.Code;Datadog;datadog-vscode;Datadog;2.21.1;59462;5;4;;https://marketplace.visualstudio.com/items?itemName=Datadog.datadog-vscode
Category;AI;VSCode;Microsoft.VisualStudio.Code;DatasiberLab;idsibercoder;IdSiberCoder;0.17.2;37;5;2;;https://marketplace.visualstudio.com/items?itemName=DatasiberLab.idsibercoder
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DatasiberLab;idsibercoder;IdSiberCoder;0.17.2;37;5;2;;https://marketplace.visualstudio.com/items?itemName=DatasiberLab.idsibercoder
Tag;deepseek;VSCode;Microsoft.VisualStudio.Code;DatasiberLab;idsibercoder;IdSiberCoder;0.17.2;37;5;2;;https://marketplace.visualstudio.com/items?itemName=DatasiberLab.idsibercoder
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DavidCoetzee;xc-project-importer;XC Project Importer: AI-Assisted Embedded Development;2.3.1;49;;;;https://marketplace.visualstudio.com/items?itemName=DavidCoetzee.xc-project-importer
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;DavidCoetzee;xc-project-importer;XC Project Importer: AI-Assisted Embedded Development;2.3.1;49;;;;https://marketplace.visualstudio.com/items?itemName=DavidCoetzee.xc-project-importer
Category;AI;VSCode;Microsoft.VisualStudio.Code;DavidMaliglowka;taskr-kanban;taskr: Task Master Kanban;1.0.1;246;;;;https://marketplace.visualstudio.com/items?itemName=DavidMaliglowka.taskr-kanban
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DavidMaliglowka;taskr-kanban;taskr: Task Master Kanban;1.0.1;246;;;;https://marketplace.visualstudio.com/items?itemName=DavidMaliglowka.taskr-kanban
Tag;anthropic;VSCode;Microsoft.VisualStudio.Code;DavidMaliglowka;taskr-kanban;taskr: Task Master Kanban;1.0.1;246;;;;https://marketplace.visualstudio.com/items?itemName=DavidMaliglowka.taskr-kanban
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;DavidMaliglowka;taskr-kanban;taskr: Task Master Kanban;1.0.1;245;;;;https://marketplace.visualstudio.com/items?itemName=DavidMaliglowka.taskr-kanban
Tag;claude;VSCode;Microsoft.VisualStudio.Code;DavidMaliglowka;taskr-kanban;taskr: Task Master Kanban;1.0.1;246;;;;https://marketplace.visualstudio.com/items?itemName=DavidMaliglowka.taskr-kanban
